building_id,built_year,source
burza-za-robu-i-vrednote-danas-hrvatska-narodna-banka-marticeva-2-2,1927,https://www.hnb.hr/o-nama/zgrada
hotel-esplanade-mihanoviceva-1-1,1925,Opened 22 April 1925
